PROVPLATS_ID,NAMN_PROVPLATS,PROV_KOD_ORIGINAL,PROVTAG_SYFTE,PROVPLATS_MILJO,PROVPLATS_TYP,PROVTAG_DAT,PROVTAG_ORG,ACKR_PROV,PLATTFORM,PROVTAG_MET,DIREKT_BEHA
00103839,Bolmen,C1970/08053,NMO,SJO-SOTV-RINN,Bakgrund,1970-05,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1970/08054,NMO,SJO-SOTV-RINN,Bakgrund,1970-05,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1970/08055,NMO,SJO-SOTV-RINN,Bakgrund,1970-05,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1970/08056,NMO,SJO-SOTV-RINN,Bakgrund,1970-05,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1970/08057,NMO,SJO-SOTV-RINN,Bakgrund,1970-05,NRM,Nej,SMABAT,Natfiske,FRYST
00103839,Bolmen,C1970/08058,NMO,SJO-SOTV-RINN,Bakgrund,1970-05,NRM,Nej,SMABAT,Natfiske,FRYST
00105985,Storvindeln,C1970/08039,NMO,SJO-SOTV-RINN,Bakgrund,NA,NRM,Nej,SMABAT,Natfiske,FRYST
00105985,Storvindeln,C1970/08040,NMO,SJO-SOTV-RINN,Bakgrund,NA,NRM,Nej,SMABAT,Natfiske,FRYST
00105985,Storvindeln,C1970/08041,NMO,SJO-SOTV-RINN,Bakgrund,NA,NRM,Nej,SMABAT,Natfiske,FRYST
00105985,Storvindeln,C1970/08042,NMO,SJO-SOTV-RINN,Bakgrund,NA,NRM,Nej,SMABAT,Natfiske,FRYST
00105985,Storvindeln,C1970/08043,NMO,SJO-SOTV-RINN,Bakgrund,NA,NRM,Nej,SMABAT,Natfiske,FRYST
00105985,Storvindeln,C1970/08044,NMO,SJO-SOTV-RINN,Bakgrund,NA,NRM,Nej,SMABAT,Natfiske,FRYST
00105985,Storvindeln,C1970/08045,NMO,SJO-SOTV-RINN,Bakgrund,NA,NRM,Nej,SMABAT,Natfiske,FRYST
00105985,Storvindeln,C1970/08046,NMO,SJO-SOTV-RINN,Bakgrund,1970-06-04,NRM,Nej,SMABAT,Natfiske,FRYST
00105985,Storvindeln,C1970/08047,NMO,SJO-SOTV-RINN,Bakgrund,1970-06-05,NRM,Nej,SMABAT,Natfiske,FRYST
00105985,Storvindeln,C1970/08048,NMO,SJO-SOTV-RINN,Bakgrund,1970-06,NRM,Nej,SMABAT,Natfiske,FRYST
00105985,Storvindeln,C1970/08001,NMO,SJO-SOTV-RINN,Bakgrund,1970-06-04,NRM,Nej,SMABAT,Natfiske,FRYST
