PROV_KOD_ORIGINAL,ART,DYNTAXA_TAXON_ID,KON,ANTAL,KOMMENTAR_PROV
C1978/08132,Gadda,206139,,1,
C1978/08133,Gadda,206139,,1,
C1978/08143,Gadda,206139,,1,
C78/,Gadda,206139,,1,
C1978/08134,Gadda,206139,,1,
C1978/08135,Gadda,206139,,1,
C1978/08136,Gadda,206139,,1,
C1978/08137,Gadda,206139,,1,
C1978/08138,Gadda,206139,,1,
C1978/08139,Gadda,206139,,1,
C1978/08140,Gadda,206139,,1,
C1978/08122-08133,Gadda,206139,X,12,
C1978/08134-08143,Gadda,206139,X,10,
C1978/08141,Gadda,206139,,1,
C1978/08142,Gadda,206139,,1,
C1979/08482,Gadda,206139,,1,
C1979/08483,Gadda,206139,,1,
C1979/08484,Gadda,206139,,1,
C1979/08485,Gadda,206139,,1,
C1979/08486,Gadda,206139,,1,
C1979/08487,Gadda,206139,,1,
C1979/08488,Gadda,206139,,1,
C1979/08583,Gadda,206139,,1,
C1979/08584,Gadda,206139,,1,
C1979/08585,Gadda,206139,,1,
C1979/08586,Gadda,206139,,1,
C1979/08587,Gadda,206139,,1,
C1979/08588,Gadda,206139,,1,
C1979/08589,Gadda,206139,,1,
C1979/08590,Gadda,206139,,1,
C1979/08591,Gadda,206139,,1,
C1979/08592,Gadda,206139,,1,
C1979/08480-08488,Gadda,206139,X,9,
C79/,Gadda,206139,,1,
C1979/08480,Gadda,206139,,1,
C1979/08481,Gadda,206139,,1,
C1980/04724,Gadda,206139,,1,
C1980/04725,Gadda,206139,,1,
C1980/04613,Mort,206135,,1,
C1980/04614,Mort,206135,,1,
C1980/04615,Mort,206135,,1,
C1980/04616,Mort,206135,,1,
C1980/04617,Mort,206135,,1,
C1980/04618,Mort,206135,,1,
C1980/04619,Mort,206135,,1,
C1980/04620,Mort,206135,,1,
C1980/04621,Mort,206135,,1,
C1980/04622,Mort,206135,,1,
C1980/04726,Mort,206135,,1,
C1980/04727,Mort,206135,,1,
C1980/04728,Mort,206135,,1,
C1980/04729,Mort,206135,,1,
C1980/04730,Mort,206135,,1,
C1980/03036,Gadda,206139,,1,
C1980/03037,Gadda,206139,,1,
C1980/03038,Gadda,206139,,1,
C1980/03039,Gadda,206139,,1,
C1980/03040,Gadda,206139,,1,
C1980/03041,Gadda,206139,,1,
C1980/03042,Gadda,206139,,1,
C1980/03043,Gadda,206139,,1,
C1980/03044,Gadda,206139,,1,
C1980/03045,Gadda,206139,,1,
C1980/03046,Gadda,206139,,1,
C1980/03047,Gadda,206139,,1,
C1980/03048,Gadda,206139,,1,
C1980/03049,Gadda,206139,,1,
C1980/03050,Gadda,206139,,1,
C1980/03051,Gadda,206139,,1,
C1980/03052,Gadda,206139,,1,
C1980/03053,Gadda,206139,,1,
C1980/03054,Gadda,206139,,1,
C1980/03055,Gadda,206139,,1,
C1980/03056,Gadda,206139,,1,
C1980/03057,Gadda,206139,,1,
C1980/03058,Gadda,206139,,1,
C1980/03059,Gadda,206139,,1,
C1980/04731,Mort,206135,,1,
C1980/04732,Mort,206135,,1,
C1980/04716-04725,Gadda,206139,X,10,
C1980/04733,Mort,206135,,1,
C1980/04734,Mort,206135,,1,
C1980/04735,Mort,206135,,1,
C1980/04716,Gadda,206139,,1,
C1980/04717,Gadda,206139,,1,
C1980/04718,Gadda,206139,,1,
C1980/04719,Gadda,206139,,1,
C1980/04720,Gadda,206139,,1,
C1980/04721,Gadda,206139,,1,
C1980/04722,Gadda,206139,,1,
C1980/04723,Gadda,206139,,1,
C1981/03948,Gadda,206139,,1,
C1981/03949,Gadda,206139,,1,
C1981/03950,Gadda,206139,,1,
C1981/03951,Gadda,206139,,1,
C1981/03952,Gadda,206139,,1,
C1981/03953,Gadda,206139,,1,
C1982/03007,Mort,206135,,1,
C1982/03008,Mort,206135,,1,
C1982/03009,Mort,206135,,1,
C1982/03010,Mort,206135,,1,
C1982/03011,Mort,206135,,1,
C1982/03012,Mort,206135,,1,
C1982/03013,Mort,206135,,1,
C1982/03014,Mort,206135,,1,
C1982/03015,Mort,206135,,1,
C1982/03016,Mort,206135,,1,
C1981/03992,Abborre,206198,,1,
C1981/03993,Abborre,206198,,1,
C1981/03994,Abborre,206198,,1,
C1981/03995,Abborre,206198,,1,
C1981/03996,Abborre,206198,,1,
