PARAMETERNAMN,UNIK_PARAMETERKOD,PROV_KOD_ORIGINAL,RAPPORT_KOD_LABB,LABB,UTFOR_LABB,ORGAN,MATVARDETEXT,MATVARDETAL,MATVARDETAL_ANM,ENHET,MATV_STD,RAPPORTERINGSGRANS_LOQ,DETEKTIONSGRANS_LOD,MATOSAKERHET,MATOSAKERHET_ENHET,MATOSAKERHET_TYP,MATVARDESPAR,DATUM_REG,PROV_LAGR,PROV_BERED,PROVKARL,ANALYS_DAT,ANALYS_MET,ACKREDITERAD_MET,ANALYS_INSTR,KOMMENTAR_MATVARDE
Krom,CH01/81,C1981/03052,C1981/03052 2483-L095,ITMM,,LEVER,,0.14,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Nickel,CH01/123,C1981/03052,C1981/03052 2483-L095,ITMM,,LEVER,,0.05,<,ug.g-1.tv-1,q,0.05,,,,,Ja,,FRYST,,,,,,,
Koppar,CH01/77,C1981/03052,C1981/03052 2483-L095,ITMM,,LEVER,,4.3,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Zink,CH01/165,C1981/03052,C1981/03052 2483-L095,ITMM,,LEVER,,81,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Kadmium,CH01/55,C1981/03052,C1981/03052 2483-L095,ITMM,,LEVER,,0.029,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Bly,CH01/21,C1981/03052,C1981/03052 2483-L095,ITMM,,LEVER,,0.04,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1981/03053,C1981/03053 NA,NRM,,HELKROPP,,1960,"",g,"",,,,,,"",,FRYST,,,,,,,
Längd,CH12/161,C1981/03053,C1981/03053 NA,NRM,,HELKROPP,,66.1,"",cm,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1981/03053,C1981/03053 810304,NSL,,MUSKEL,,0.63,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1981/03054,C1981/03054 NA,NRM,,HELKROPP,,1600,"",g,"",,,,,,"",,FRYST,,,,,,,
Längd,CH12/161,C1981/03054,C1981/03054 NA,NRM,,HELKROPP,,61.5,"",cm,"",,,,,,"",,FRYST,,,,,,,
"Torrvikt, %",CH12/224,C1981/03054,C1981/03054 2483-M096,ITMLAM,,MUSKEL,,21.4,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C1981/03054,C1981/03054 2483-M096,ITMM,,MUSKEL,,413,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1981/03054,C1981/03054 810305,NSL,,MUSKEL,,0.74,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
"Torrvikt, %",CH12/224,C1981/03054,C1981/03054 2483-L096,ITMLAM,,LEVER,,34.5,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Krom,CH01/81,C1981/03054,C1981/03054 2483-L096,ITMM,,LEVER,,0.1,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Nickel,CH01/123,C1981/03054,C1981/03054 2483-L096,ITMM,,LEVER,,0.05,<,ug.g-1.tv-1,q,0.05,,,,,Ja,,FRYST,,,,,,,
Koppar,CH01/77,C1981/03054,C1981/03054 2483-L096,ITMM,,LEVER,,2.72,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Zink,CH01/165,C1981/03054,C1981/03054 2483-L096,ITMM,,LEVER,,62,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Kadmium,CH01/55,C1981/03054,C1981/03054 2483-L096,ITMM,,LEVER,,0.02,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Bly,CH01/21,C1981/03054,C1981/03054 2483-L096,ITMM,,LEVER,,0.02,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1981/03055,C1981/03055 NA,NRM,,HELKROPP,,1630,"",g,"",,,,,,"",,FRYST,,,,,,,
Längd,CH12/161,C1981/03055,C1981/03055 NA,NRM,,HELKROPP,,62,"",cm,"",,,,,,"",,FRYST,,,,,,,
"Torrvikt, %",CH12/224,C1981/03055,C1981/03055 2483-M097,ITMLAM,,MUSKEL,,21.3,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C1981/03055,C1981/03055 2483-M097,ITMM,,MUSKEL,,398,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1981/03055,C1981/03055 810306,NSL,,MUSKEL,,0.61,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
"Torrvikt, %",CH12/224,C1981/03055,C1981/03055 2483-L097,ITMLAM,,LEVER,,27.5,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Krom,CH01/81,C1981/03055,C1981/03055 2483-L097,ITMM,,LEVER,,0.1,<,ug.g-1.tv-1,q,0.1,,,,,Ja,,FRYST,,,,,,,
Nickel,CH01/123,C1981/03055,C1981/03055 2483-L097,ITMM,,LEVER,,0.05,<,ug.g-1.tv-1,q,0.05,,,,,Ja,,FRYST,,,,,,,
Koppar,CH01/77,C1981/03055,C1981/03055 2483-L097,ITMM,,LEVER,,10.9,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Zink,CH01/165,C1981/03055,C1981/03055 2483-L097,ITMM,,LEVER,,142,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Kadmium,CH01/55,C1981/03055,C1981/03055 2483-L097,ITMM,,LEVER,,0.065,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Bly,CH01/21,C1981/03055,C1981/03055 2483-L097,ITMM,,LEVER,,0.03,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1981/03056,C1981/03056 NA,NRM,,HELKROPP,,710,"",g,"",,,,,,"",,FRYST,,,,,,,
Längd,CH12/161,C1981/03056,C1981/03056 NA,NRM,,HELKROPP,,49,"",cm,"",,,,,,"",,FRYST,,,,,,,
"Torrvikt, %",CH12/224,C1981/03056,C1981/03056 2483-M098,ITMLAM,,MUSKEL,,21.7,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C1981/03056,C1981/03056 2483-M098,ITMM,,MUSKEL,,336,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1981/03056,C1981/03056 810307,NSL,,MUSKEL,,0.61,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
"Torrvikt, %",CH12/224,C1981/03056,C1981/03056 2483-L098,ITMLAM,,LEVER,,32.2,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Krom,CH01/81,C1981/03056,C1981/03056 2483-L098,ITMM,,LEVER,,0.12,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Nickel,CH01/123,C1981/03056,C1981/03056 2483-L098,ITMM,,LEVER,,0.05,<,ug.g-1.tv-1,q,0.05,,,,,Ja,,FRYST,,,,,,,
Koppar,CH01/77,C1981/03056,C1981/03056 2483-L098,ITMM,,LEVER,,7.62,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Zink,CH01/165,C1981/03056,C1981/03056 2483-L098,ITMM,,LEVER,,186,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Kadmium,CH01/55,C1981/03056,C1981/03056 2483-L098,ITMM,,LEVER,,0.066,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Bly,CH01/21,C1981/03056,C1981/03056 2483-L098,ITMM,,LEVER,,0.03,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1981/03057,C1981/03057 NA,NRM,,HELKROPP,,1720,"",g,"",,,,,,"",,FRYST,,,,,,,
Längd,CH12/161,C1981/03057,C1981/03057 NA,NRM,,HELKROPP,,61.5,"",cm,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1981/03057,C1981/03057 810308,NSL,,MUSKEL,,0.58,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1981/03058,C1981/03058 NA,NRM,,HELKROPP,,1260,"",g,"",,,,,,"",,FRYST,,,,,,,
Längd,CH12/161,C1981/03058,C1981/03058 NA,NRM,,HELKROPP,,58.4,"",cm,"",,,,,,"",,FRYST,,,,,,,
"Torrvikt, %",CH12/224,C1981/03058,C1981/03058 2483-M099,ITMLAM,,MUSKEL,,20.9,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C1981/03058,C1981/03058 2483-M099,ITMM,,MUSKEL,,357,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
"Torrvikt, %",CH12/224,C1981/03058,C1981/03058 2483-L099,ITMLAM,,LEVER,,28.8,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Krom,CH01/81,C1981/03058,C1981/03058 2483-L099,ITMM,,LEVER,,0.14,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Nickel,CH01/123,C1981/03058,C1981/03058 2483-L099,ITMM,,LEVER,,0.05,<,ug.g-1.tv-1,q,0.05,,,,,Ja,,FRYST,,,,,,,
Koppar,CH01/77,C1981/03058,C1981/03058 2483-L099,ITMM,,LEVER,,6.98,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Zink,CH01/165,C1981/03058,C1981/03058 2483-L099,ITMM,,LEVER,,143,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Kadmium,CH01/55,C1981/03058,C1981/03058 2483-L099,ITMM,,LEVER,,0.063,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Bly,CH01/21,C1981/03058,C1981/03058 2483-L099,ITMM,,LEVER,,0.07,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1981/03059,C1981/03059 NA,NRM,,HELKROPP,,1170,"",g,"",,,,,,"",,FRYST,,,,,,,
Längd,CH12/161,C1981/03059,C1981/03059 NA,NRM,,HELKROPP,,56,"",cm,"",,,,,,"",,FRYST,,,,,,,
"Torrvikt, %",CH12/224,C1981/03059,C1981/03059 2483-M100,ITMLAM,,MUSKEL,,22.2,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C1981/03059,C1981/03059 2483-M100,ITMM,,MUSKEL,,222,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
"Torrvikt, %",CH12/224,C1981/03059,C1981/03059 2483-L100,ITMLAM,,LEVER,,30.7,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Krom,CH01/81,C1981/03059,C1981/03059 2483-L100,ITMM,,LEVER,,0.1,<,ug.g-1.tv-1,q,0.1,,,,,Ja,,FRYST,,,,,,,
Nickel,CH01/123,C1981/03059,C1981/03059 2483-L100,ITMM,,LEVER,,0.05,<,ug.g-1.tv-1,q,0.05,,,,,Ja,,FRYST,,,,,,,
Koppar,CH01/77,C1981/03059,C1981/03059 2483-L100,ITMM,,LEVER,,2.93,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Zink,CH01/165,C1981/03059,C1981/03059 2483-L100,ITMM,,LEVER,,53,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Kadmium,CH01/55,C1981/03059,C1981/03059 2483-L100,ITMM,,LEVER,,0.021,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Bly,CH01/21,C1981/03059,C1981/03059 2483-L100,ITMM,,LEVER,,0.03,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1981/03060,C1981/03060 NA,NRM,,HELKROPP,,1800,"",g,"",,,,,,"",,FRYST,,,,,,,
Längd,CH12/161,C1981/03060,C1981/03060 NA,NRM,,HELKROPP,,61,"",cm,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1981/03061,C1981/03061 NA,NRM,,HELKROPP,,820,"",g,"",,,,,,"",,FRYST,,,,,,,
Längd,CH12/161,C1981/03061,C1981/03061 NA,NRM,,HELKROPP,,51,"",cm,"",,,,,,"",,FRYST,,,,,,,
"Torrvikt, %",CH12/224,C1981/03061,C1981/03061 2483-M101,ITMLAM,,MUSKEL,,21,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C1981/03061,C1981/03061 2483-M101,ITMM,,MUSKEL,,246,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
"Torrvikt, %",CH12/224,C1981/03061,C1981/03061 2483-L101,ITMLAM,,LEVER,,34.1,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Krom,CH01/81,C1981/03061,C1981/03061 2483-L101,ITMM,,LEVER,,0.17,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Nickel,CH01/123,C1981/03061,C1981/03061 2483-L101,ITMM,,LEVER,,0.05,<,ug.g-1.tv-1,q,0.05,,,,,Ja,,FRYST,,,,,,,
Koppar,CH01/77,C1981/03061,C1981/03061 2483-L101,ITMM,,LEVER,,3.5,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Zink,CH01/165,C1981/03061,C1981/03061 2483-L101,ITMM,,LEVER,,143,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Kadmium,CH01/55,C1981/03061,C1981/03061 2483-L101,ITMM,,LEVER,,0.022,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Bly,CH01/21,C1981/03061,C1981/03061 2483-L101,ITMM,,LEVER,,0.02,<,ug.g-1.tv-1,q,0.02,,,,,Ja,,FRYST,,,,,,,
Vikt,CH12/232,C1981/03062,C1981/03062 NA,NRM,,HELKROPP,,530,"",g,"",,,,,,"",,FRYST,,,,,,,
Längd,CH12/161,C1981/03062,C1981/03062 NA,NRM,,HELKROPP,,42.5,"",cm,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1981/03063,C1981/03063 NA,NRM,,HELKROPP,,990,"",g,"",,,,,,"",,FRYST,,,,,,,
Längd,CH12/161,C1981/03063,C1981/03063 NA,NRM,,HELKROPP,,52,"",cm,"",,,,,,"",,FRYST,,,,,,,
"Torrvikt, %",CH12/224,C1981/03063,C1981/03063 2483-M102,ITMLAM,,MUSKEL,,20.3,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C1981/03063,C1981/03063 2483-M102,ITMM,,MUSKEL,,238,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
"Torrvikt, %",CH12/224,C1981/03063,C1981/03063 2483-L102,ITMLAM,,LEVER,,33.5,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Krom,CH01/81,C1981/03063,C1981/03063 2483-L102,ITMM,,LEVER,,0.14,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Nickel,CH01/123,C1981/03063,C1981/03063 2483-L102,ITMM,,LEVER,,0.05,<,ug.g-1.tv-1,q,0.05,,,,,Ja,,FRYST,,,,,,,
Koppar,CH01/77,C1981/03063,C1981/03063 2483-L102,ITMM,,LEVER,,3.13,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Zink,CH01/165,C1981/03063,C1981/03063 2483-L102,ITMM,,LEVER,,131,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Kadmium,CH01/55,C1981/03063,C1981/03063 2483-L102,ITMM,,LEVER,,0.022,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Bly,CH01/21,C1981/03063,C1981/03063 2483-L102,ITMM,,LEVER,,0.02,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1981/03064,C1981/03064 NA,NRM,,HELKROPP,,1580,"",g,"",,,,,,"",,FRYST,,,,,,,
Längd,CH12/161,C1981/03064,C1981/03064 NA,NRM,,HELKROPP,,61.5,"",cm,"",,,,,,"",,FRYST,,,,,,,
"Torrvikt, %",CH12/224,C1981/03064,C1981/03064 2483-M103,ITMLAM,,MUSKEL,,22.2,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C1981/03064,C1981/03064 2483-M103,ITMM,,MUSKEL,,420,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
"Torrvikt, %",CH12/224,C1981/03064,C1981/03064 2483-L103,ITMLAM,,LEVER,,36.4,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Krom,CH01/81,C1981/03064,C1981/03064 2483-L103,ITMM,,LEVER,,0.15,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Nickel,CH01/123,C1981/03064,C1981/03064 2483-L103,ITMM,,LEVER,,0.05,<,ug.g-1.tv-1,q,0.05,,,,,Ja,,FRYST,,,,,,,
Koppar,CH01/77,C1981/03064,C1981/03064 2483-L103,ITMM,,LEVER,,3.58,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Zink,CH01/165,C1981/03064,C1981/03064 2483-L103,ITMM,,LEVER,,135,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Kadmium,CH01/55,C1981/03064,C1981/03064 2483-L103,ITMM,,LEVER,,0.031,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Bly,CH01/21,C1981/03064,C1981/03064 2483-L103,ITMM,,LEVER,,0.03,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1981/03065,C1981/03065 NA,NRM,,HELKROPP,,2360,"",g,"",,,,,,"",,FRYST,,,,,,,
Längd,CH12/161,C1981/03065,C1981/03065 NA,NRM,,HELKROPP,,68,"",cm,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1981/03066,C1981/03066 NA,NRM,,HELKROPP,,1960,"",g,"",,,,,,"",,FRYST,,,,,,,
Längd,CH12/161,C1981/03066,C1981/03066 NA,NRM,,HELKROPP,,62,"",cm,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1981/03067,C1981/03067 NA,NRM,,HELKROPP,,1560,"",g,"",,,,,,"",,FRYST,,,,,,,
Längd,CH12/161,C1981/03067,C1981/03067 NA,NRM,,HELKROPP,,60.5,"",cm,"",,,,,,"",,FRYST,,,,,,,
"Torrvikt, %",CH12/224,C1981/03067,C1981/03067 2483-M104,ITMLAM,,MUSKEL,,21.8,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C1981/03067,C1981/03067 2483-M104,ITMM,,MUSKEL,,358,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
"Torrvikt, %",CH12/224,C1981/03067,C1981/03067 2483-L104,ITMLAM,,LEVER,,42.5,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Krom,CH01/81,C1981/03067,C1981/03067 2483-L104,ITMM,,LEVER,,0.16,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Nickel,CH01/123,C1981/03067,C1981/03067 2483-L104,ITMM,,LEVER,,0.05,<,ug.g-1.tv-1,q,0.05,,,,,Ja,,FRYST,,,,,,,
Koppar,CH01/77,C1981/03067,C1981/03067 2483-L104,ITMM,,LEVER,,3.05,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Zink,CH01/165,C1981/03067,C1981/03067 2483-L104,ITMM,,LEVER,,155,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Kadmium,CH01/55,C1981/03067,C1981/03067 2483-L104,ITMM,,LEVER,,0.02,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Bly,CH01/21,C1981/03067,C1981/03067 2483-L104,ITMM,,LEVER,,0.02,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Vikt (medelvärde),CH12/234,C1981/04683-04692,C1981/04683-04692 NA,NRM,,HELKROPP,,163.5,"",g,"",,,,,,"",,FRYST,,,,,,,
Längd (medelvärde),CH12/163,C1981/04683-04692,C1981/04683-04692 NA,NRM,,HELKROPP,,25.8,"",cm,"",,,,,,"",,FRYST,,,,,,,
Ålder (medelvärde),CH12/241,C1981/04683-04692,C1981/04683-04692 NA,NRM,,HELKROPP,,3.6,"",ar,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1981/04683-04692,C1981/04683-04692 110036,ITMCB,,MUSKEL,,2.68,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
"2,2',4,4'-Tetrabromdifenyleter (PBDE47)",CH07/145,C1981/04683-04692,C1981/04683-04692 110036,ITMCB,,MUSKEL,,1.04,"",ng.g-1.lv-1,"",,,,,,"",,FRYST,,,,,,,
"2,2',4,4',5-Pentabromdifenyleter (PBDE99)",CH07/140,C1981/04683-04692,C1981/04683-04692 110036,ITMCB,,MUSKEL,,0.4,"",ng.g-1.lv-1,"",,,,,,"",,FRYST,,,,,,,
"2,2',4,4',6-Pentabromdifenyleter (PBDE100)",CH07/144,C1981/04683-04692,C1981/04683-04692 110036,ITMCB,,MUSKEL,,0.2,<,ng.g-1.lv-1,q,0.2,,,,,Ja,,FRYST,,,,,,,
"2,2',4,4',5,5'-Hexabromdifenyleter (PBDE153)",CH07/137,C1981/04683-04692,C1981/04683-04692 110036,ITMCB,,MUSKEL,,0.1,<,ng.g-1.lv-1,q,0.1,,,,,Ja,,FRYST,,,,,,,
"2,2',4,4',5,6'-Hexabromdifenyleter (PBDE154)",CH07/139,C1981/04683-04692,C1981/04683-04692 110036,ITMCB,,MUSKEL,,0.1,<,ng.g-1.lv-1,q,0.1,,,,,Ja,,FRYST,,,,,,,
Hexabromcyklododekan (HBCD),CH07/422,C1981/04683-04692,C1981/04683-04692 110036,ITMCB,,MUSKEL,,2,<,ng.g-1.lv-1,q,2,,,,,Ja,,FRYST,,,,,,,
"Perfluorhexansyra (PFHxA), linjär",CH07/560,C1981/04683-04692,C1981/04683-04692 PAX11/0012,ITMP,,LEVER,,0.5,<,ng.g-1.vv-1,q,0.5,,,,,Ja,,FRYST,,,,,,,
"Perfluorheptansyra (PFHpA), linjär",CH07/557,C1981/04683-04692,C1981/04683-04692 PAX11/0012,ITMP,,LEVER,,0.2,<,ng.g-1.vv-1,q,0.2,,,,,Ja,,FRYST,,,,,,,
"Perfluoroktansyra (PFOA), linjär",CH07/570,C1981/04683-04692,C1981/04683-04692 PAX11/0012,ITMP,,LEVER,,2,<,ng.g-1.vv-1,q,2,,,,,Ja,,FRYST,,,,,,,
"Perfluornonansyra (PFNA), linjär",CH07/561,C1981/04683-04692,C1981/04683-04692 PAX11/0012,ITMP,,LEVER,,0.3,<,ng.g-1.vv-1,q,0.3,,,,,Ja,,FRYST,,,,,,,
"Perfluordekansyra (PFDA), linjär",CH07/553,C1981/04683-04692,C1981/04683-04692 PAX11/0012,ITMP,,LEVER,,0.3,<,ng.g-1.vv-1,q,0.3,,,,,Ja,,FRYST,,,,,,,
"Perfluorundekansyra (PFUnDA), linjär",CH07/576,C1981/04683-04692,C1981/04683-04692 PAX11/0012,ITMP,,LEVER,,0.5,<,ng.g-1.vv-1,q,0.5,,,,,Ja,,FRYST,,,,,,,
"Perfluordodekansyra (PFDoDA), linjär",CH07/554,C1981/04683-04692,C1981/04683-04692 PAX11/0012,ITMP,,LEVER,,0.4,<,ng.g-1.vv-1,q,0.4,,,,,Ja,,FRYST,,,,,,,
"Perfluortridekansyra (PFTriDA), linjär",CH07/575,C1981/04683-04692,C1981/04683-04692 PAX11/0012,ITMP,,LEVER,,0.3,<,ng.g-1.vv-1,q,0.3,,,,,Ja,,FRYST,,,,,,,
"Perfluortetradekansyra (PFTeDA), linjär",CH07/574,C1981/04683-04692,C1981/04683-04692 PAX11/0012,ITMP,,LEVER,,0.3,<,ng.g-1.vv-1,q,0.3,,,,,Ja,,FRYST,,,,,,,
"Perfluorpentadekansyra (PFPeDA), linjär",CH07/572,C1981/04683-04692,C1981/04683-04692 PAX11/0012,ITMP,,LEVER,,0.1,<,ng.g-1.vv-1,q,0.1,,,,,Ja,,FRYST,,,,,,,
Vikt (medelvärde),CH12/234,C1981/03572-03585,C1981/03572-03585 NA,NRM,,HELKROPP,,38.76,"",g,"",,,,,,"",,FRYST,,,,,,,
Längd (medelvärde),CH12/163,C1981/03572-03585,C1981/03572-03585 NA,NRM,,HELKROPP,,14.95,"",cm,"",,,,,,"",,FRYST,,,,,,,
Ålder (medelvärde),CH12/241,C1981/03572-03585,C1981/03572-03585 NA,NRM,,HELKROPP,,3.1,"",ar,"",,,,,,"",,FRYST,,,,,,,
"Perfluorhexansyra (PFHxA), linjär",CH07/560,C1981/03572-03585,C1981/03572-03585 PAX11/0024,ITMP,,LEVER,,0.5,<,ng.g-1.vv-1,q,0.5,,,,,Ja,,FRYST,,,,,,,
"Perfluorheptansyra (PFHpA), linjär",CH07/557,C1981/03572-03585,C1981/03572-03585 PAX11/0024,ITMP,,LEVER,,0.2,<,ng.g-1.vv-1,q,0.2,,,,,Ja,,FRYST,,,,,,,
"Perfluoroktansyra (PFOA), linjär",CH07/570,C1981/03572-03585,C1981/03572-03585 PAX11/0024,ITMP,,LEVER,,2,<,ng.g-1.vv-1,q,2,,,,,Ja,,FRYST,,,,,,,
"Perfluornonansyra (PFNA), linjär",CH07/561,C1981/03572-03585,C1981/03572-03585 PAX11/0024,ITMP,,LEVER,,0.3,<,ng.g-1.vv-1,q,0.3,,,,,Ja,,FRYST,,,,,,,
"Perfluordekansyra (PFDA), linjär",CH07/553,C1981/03572-03585,C1981/03572-03585 PAX11/0024,ITMP,,LEVER,,0.41,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
"Perfluorundekansyra (PFUnDA), linjär",CH07/576,C1981/03572-03585,C1981/03572-03585 PAX11/0024,ITMP,,LEVER,,1.04,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
"Perfluordodekansyra (PFDoDA), linjär",CH07/554,C1981/03572-03585,C1981/03572-03585 PAX11/0024,ITMP,,LEVER,,0.79,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
"Perfluortridekansyra (PFTriDA), linjär",CH07/575,C1981/03572-03585,C1981/03572-03585 PAX11/0024,ITMP,,LEVER,,0.64,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
"Perfluortetradekansyra (PFTeDA), linjär",CH07/574,C1981/03572-03585,C1981/03572-03585 PAX11/0024,ITMP,,LEVER,,1.01,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
"Perfluorpentadekansyra (PFPeDA), linjär",CH07/572,C1981/03572-03585,C1981/03572-03585 PAX11/0024,ITMP,,LEVER,,0.1,<,ng.g-1.vv-1,q,0.1,,,,,Ja,,FRYST,,,,,,,
Vikt,CH12/232,C1981/03960,C1981/03960 NA,NRM,,HELKROPP,,198,"",g,"",,,,,,"",,FRYST,,,,,,,
Längd,CH12/161,C1981/03960,C1981/03960 NA,NRM,,HELKROPP,,27.6,"",cm,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1981/03960,C1981/03960 820154.10.016.820319,NSL,,MUSKEL,,1.49,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
